iteration,buffer_size,loss_total,loss_policy,loss_value,loss_ease,selfplay_sec,train_sec
1,1674,7.689749,7.521293,0.117920,0.050536,122.50,3.13
2,3257,6.680804,6.579593,0.090762,0.010449,122.80,0.29
3,5079,6.329143,6.212657,0.074929,0.041557,136.88,0.28
4,6758,5.971399,5.863764,0.056207,0.051427,125.79,0.32
5,8273,5.661220,5.561601,0.051926,0.047693,126.59,0.33
6,10010,5.306529,5.216846,0.042134,0.047548,128.09,0.33
7,11749,5.012452,4.917963,0.047798,0.046692,128.99,0.31
8,13413,4.771009,4.682548,0.040226,0.048235,127.37,0.32
9,15147,4.588443,4.494715,0.045559,0.048169,126.10,0.31
10,16923,4.410392,4.323467,0.036291,0.050633,129.88,0.32
11,18730,4.241504,4.165100,0.027037,0.049366,144.77,0.33
12,20404,4.082220,4.006013,0.028158,0.048049,128.14,0.32
13,21957,3.993806,3.917209,0.032005,0.044592,123.47,0.32
14,23899,3.942162,3.857576,0.036744,0.047842,129.88,0.31
15,25899,3.818718,3.744397,0.027675,0.046645,135.98,0.35
16,27840,3.770536,3.697849,0.028110,0.044577,132.36,0.32
17,29840,3.673344,3.603212,0.027563,0.042568,145.43,0.31
18,31472,3.647029,3.572164,0.029007,0.045857,127.16,0.32
19,33371,3.584630,3.509429,0.032278,0.042923,143.13,0.34
20,35371,3.579256,3.501031,0.030766,0.047460,129.58,0.32
