ply,side,n_legal,n_qualified,v_root,q1,q2,gap,F_gap,eff_actions,ease_entropy,F_tree_gap,F_flat_gap,F_tree_entropy,F_flat_entropy,best_move,fen,gap_hi
6,white,25,8,-0.0861,0.0124,0.0093,0.0031,0.9061,2.059,0.3472,0.2493,0.41,0.2013,0.2763,f1c4,r1bqkbnr/pp1ppppp/n7/8/2p1P3/N4N2/PPPP1PPP/R1BQKB1R w KQkq - 0 1,0.0348
7,black,26,9,0.0598,0.1709,0.1697,0.0011,0.9639,2.383,0.3953,0.2458,0.4027,0.1997,0.2345,e7e6,r2qkbnr/ppp1pppp/2np4/8/4P3/N6P/PPPP1P1P/R1BQKB1R b KQkq - 0 1,0.0239
8,white,20,8,0.0234,0.0792,0.0426,0.0366,0.31,2.739,0.4845,0.1567,0.2323,0.2151,0.2608,g4h5,rnbqkbnr/pp1pp3/5pp1/2p4p/5PP1/7P/PPPPP3/RNBQKBNR w KQkq h6 0 1,0.005
8,white,31,9,0.3028,0.5421,0.4185,0.1236,0.0192,1.141,0.0602,0.1211,0.1158,0.1793,0.1652,c4d5,rn2kbnr/ppq1pppp/4b3/2Pp4/2P5/7P/PP2PPP1/RNBQKBNR w KQkq - 0 1,0.0155
9,black,23,9,0.5234,0.5743,0.5559,0.0184,0.556,5.638,0.7872,0.0702,0.1194,0.0847,0.1035,a7a5,rnbqk1nr/pppp2bp/5pp1/4P3/1P3B2/6P1/P1P1PP1P/RN1QKBNR b KQkq - 0 1,0.0022
10,white,38,8,0.0486,0.1917,-0.0461,0.2378,0.0005,1.012,0.0055,0.2185,0.311,0.1961,0.2276,f4g5,rnbqkb1r/pp2pp2/5n2/2pp2pp/3P1P2/3BP2P/PPP3P1/RNBQK1NR w KQkq - 0 1,0.0313
11,black,28,8,-0.0556,0.0692,-0.0263,0.0955,0.0472,1.32,0.1336,0.1433,0.2038,0.2134,0.2447,c7c6,rn1qkbnr/ppp2p1p/3p4/4p1p1/P7/3P2BP/1PP1PP1P/RN1QKB1R b KQkq a3 0 1,0.0312
12,white,30,8,-0.2701,-0.074,-0.1504,0.0764,0.087,1.33,0.1373,0.2794,0.4477,0.1973,0.2639,g2h3,rn1qkbnr/pp3pp1/3p3p/4p3/3pP3/5P1b/PPP1Q1PP/RNB1KB1R w KQkq - 0 1,0.0962
13,black,29,8,0.0007,0.0998,0.0562,0.0436,0.248,3.234,0.5645,0.1591,0.1944,0.2394,0.311,c7c6,r1bqkbnr/pppp1p2/n3p1pp/8/3PQ2P/2P2PP1/PP2P3/RNB1KBNR b KQkq - 0 1,0.0164
13,black,25,8,0.1518,0.2831,0.2628,0.0203,0.5223,2.337,0.4082,0.1718,0.2346,0.2014,0.2526,c5c4,rnbqk1nr/1p1pbppp/8/p1p5/P7/4P1PN/1PPK3P/RNBQ1B1R b kq - 0 1,0.0024
15,black,35,8,0.1954,0.3022,0.299,0.0032,0.9042,2.653,0.4692,0.2563,0.3284,0.2369,0.2333,b7d5,r2q2nr/pbpkbppp/4p3/3P4/3P4/6P1/PPP1KP1P/RNBQ2NR b - - 0 1,0.0078
16,white,30,9,-0.5569,-0.4374,-0.439,0.0016,0.9505,3.564,0.5784,0.2412,0.3594,0.1814,0.2211,c3c4,rnbqkbnr/ppp3p1/4p3/3p4/8/N1P2pPP/PP1P1K2/R1BQ1B1R w kq d6 0 1,0.0597
16,white,37,8,0.8032,0.9154,0.8928,0.0226,0.4851,2.977,0.5246,0.2861,0.3369,0.368,0.36,h3f4,Bn1q2nr/p1pppk1p/b6b/1p3P2/6p1/3P2PN/PPP2P1P/RNBQ1K1R w - - 0 1,0.0273
16,white,34,10,0.0648,0.3502,0.1375,0.2127,0.0011,1.021,0.0091,0.1004,0.0768,0.1658,0.133,f1d3,r1bqk1r1/pppppnb1/2n2p2/2P4p/7P/4P1Q1/PP1P1PP1/RNB1KBNR w KQq - 0 1,0.0398
17,black,31,8,-0.5276,-0.4037,-0.4315,0.0278,0.4106,1.965,0.3247,0.24,0.251,0.2261,0.2598,b8c8,1rN1kb1r/1p1pp1pp/5p1n/q1p5/4P3/2PB2P1/P2P1P1P/R1BQK1NR b KQk - 0 1,0.0278
18,white,39,8,0.2176,0.3327,0.1685,0.1642,0.0052,1.075,0.035,0.1342,0.1666,0.1979,0.2081,a3b5,rn1qkbnr/1p2pp2/7p/p1pp4/3P1B2/N5P1/PPP1PPBP/R2QK2R w KQkq c6 0 1,0.0121
18,white,36,10,-0.3285,-0.1957,-0.2001,0.0044,0.87,3.648,0.5621,0.2206,0.3612,0.2118,0.3052,g1h3,r1bqkb1r/p2p1ppp/2n1p2n/2p5/4P3/2P3P1/P2P1PBP/1RBQK1NR w Kkq - 0 1,0.0072
22,white,40,8,0.4828,0.5978,0.5613,0.0365,0.3114,2.402,0.4214,0.1781,0.2695,0.193,0.2518,e5g6,rnb1kbnr/1p2q3/4p1p1/pPppNP2/4P2p/3P3P/PBPK1P2/RN1Q1B1R w kq - 0 1,0.0223
10,white,38,9,0.0378,0.1939,0.1879,0.0061,0.8235,2.633,0.4406,0.2085,0.2718,0.1905,0.1925,d1h5,rnbq1b1r/pppppk1p/7n/3P2p1/5N2/4P3/PPP2PPP/RNBQKB1R w KQ g6 0 1,0.0584
24,white,34,8,0.8197,0.9201,0.8797,0.0404,0.275,1.778,0.2768,0.2589,0.3476,0.2909,0.3059,b5a7,1rbk2r1/pp1pnp1p/n7/1Np2p2/2P1p3/1P2P1PP/P1QP1P1R/1R2KBN1 w - - 0 1,0.0348
18,white,36,10,0.0947,0.2455,0.2174,0.0281,0.4075,2.234,0.349,0.1593,0.2434,0.1827,0.2211,a4b3,rnbq2nr/1p1ppkb1/2p4p/p2P1pp1/Q1P5/N4NP1/PP2PPBP/R1B2K1R w - a6 0 1,0.0147
26,white,17,8,0.9389,0.9801,0.9624,0.0178,0.5665,5.955,0.8581,0.3454,0.39,0.4978,0.5684,a1a2,1rb1kb1r/6pp/1p2pp1n/1P1p4/3P2P1/N4P1P/2PP4/R1BQK1NR w KQk d6 0 1,0.0012
29,black,36,8,-0.2617,-0.169,-0.1905,0.0216,0.5018,2.473,0.4353,0.2846,0.3958,0.271,0.2904,e3f2,r1b2bnr/ppp2kp1/n7/8/4Pp2/2P1p2P/PP3B1P/R2QKB1R b KQ - 0 1,0.0542
29,black,34,8,0.6809,0.7324,0.6766,0.0558,0.1679,2.422,0.4253,0.219,0.22,0.242,0.2456,c4b3,1rbqk1n1/pp2bp2/2p1p3/7p/2p2P2/1P2PN1P/P1PP2PR/1RB1K3 b - - 0 1,0.0772
32,white,33,8,0.036,0.1398,0.1396,0.0002,0.9935,3.04,0.5347,0.0789,0.0553,0.107,0.0717,e2d4,rn3bnr/2q2k2/b5p1/p1P2pBp/1P1p3P/P7/2P1NPP1/R2QKBR1 w Q - 0 1,0.1918
36,white,40,8,0.7434,0.8001,0.7936,0.0064,0.8139,3.699,0.629,0.2458,0.3337,0.2455,0.2974,d1d2,r1bq1kn1/ppp1b3/6P1/4p2p/1P1pP2R/5NP1/P1P2PB1/1RBQKN2 w - - 0 1,0.0889
